ID,Name,Team,Pos,Price,18_pts,19_pts,20_pts,21_pts,22_pts,23_pts,24_pts,25_pts
202,Holding,CRY,DEF,4.3,0.00084,0.00076,0.00083,0.00084,0.00087,0.0008,0.00087,0.00077
203,Hughes,CRY,MID,4.9,1.95114,2.30071,2.11938,2.13166,2.06896,2.28801,1.99783,2.27856
204,Johnstone,WOL,GK,4.3,0.3232,0.41283,0.31864,0.41581,0.41949,0.33055,0.31201,0.47569
205,Kamada,CRY,MID,5.1,1.46717,1.55943,1.41667,1.64325,1.59176,1.54096,1.51656,1.53223
206,Lerma,CRY,MID,4.8,1.87405,2.06035,1.91093,2.06646,2.00514,2.05559,1.93574,2.05259
207,Mateta,CRY,FWD,7.2,2.38207,2.91838,2.48739,2.73783,2.60301,2.83656,2.48893,2.89391
208,M.França,CRY,MID,4.4,0.01673,0.01825,0.94701,1.28564,1.30821,1.30775,1.29051,1.34185
209,Matthews,CRY,GK,3.9,0.00812,0.00585,0.00711,0.00694,0.00755,0.00648,0.00825,0.00626
210,Mitchell,CRY,DEF,4.8,2.78607,2.64683,2.8107,2.83012,2.91275,2.75878,2.89025,2.67148
211,Muñoz,CRY,DEF,4.7,2.49019,2.29915,2.47544,2.54874,2.62917,2.41803,2.60497,2.33171
212,Ozoh,CRY,MID,4.5,0,0,0,0,0,0,0,0
213,Rak-Sakyi,CRY,MID,4.5,0,0,0,0,0,0,0,0
214,Schlupp,CRY,MID,4.7,0.83809,0.90826,0.8245,0.93874,0.90291,0.90098,0.86736,0.9013
215,Ward,CRY,DEF,4.3,0.01937,0.01647,0.01892,0.01902,0.01997,0.01765,0.02007,0.01684
216,Wharton,CRY,MID,4.7,0,0,0,1.66075,1.93316,2.00645,1.95539,2.13673
217,A.Doucoure,EVE,MID,5.1,2.19634,2.49572,2.23275,2.43579,2.38456,2.28882,2.71996,2.36419
218,Beto,EVE,FWD,5,0.85796,1.07066,0.95403,0.99365,0.95289,0.98427,1.14622,1.04261
219,Branthwaite,EVE,DEF,4.8,2.66727,2.1788,2.3244,2.18496,2.28418,2.36444,2.24121,2.37509
220,Calvert-Lewin,EVE,FWD,5.5,2.18895,2.65379,2.37294,2.51645,2.44186,2.42664,2.79802,2.53433
221,Coleman,EVE,DEF,4.3,0.99806,0.82952,0.87171,0.82785,0.86165,0.89063,0.86257,0.89768
222,Gana,EVE,MID,4.8,2.04172,2.20359,2.08432,2.12074,2.1154,2.12277,2.30836,2.19724
223,Garner,EVE,MID,4.9,0,0,0,0,0,0,0,0
224,Harrison,EVE,MID,5.2,1.87722,2.19465,1.91651,2.13122,2.08725,1.96551,2.39221,2.03709
225,Holgate,EVE,DEF,4,0,0,0,0,0,0,0,0
226,Iroegbunam,EVE,MID,4.4,0,0,0,0,0,0,0,0
227,J.Virginia,EVE,GK,3.9,0.00881,0.00665,0.00812,0.00652,0.00736,0.00787,0.00671,0.00745
228,Keane,EVE,DEF,4.1,0.63031,0.50412,0.54449,0.50447,0.52958,0.55539,0.52077,0.55939
229,Maupay,EVE,FWD,4.9,0.63204,0.51647,0.67611,0.66025,0.64739,0.65543,0.62518,0.72167
230,McNeil,EVE,MID,5.3,0.76125,1.80683,2.15193,2.71208,2.72266,2.6852,3.26119,2.75662
231,Mykolenko,EVE,DEF,4.3,2.79832,2.35752,2.46697,2.35443,2.44835,2.50722,2.4251,2.52228
232,Ndiaye,EVE,FWD,5.4,2.10598,2.62346,2.31668,2.50597,2.43275,2.37482,2.78746,2.47374
233,Onana,AVL,MID,4.9,1.89534,1.89163,2.06429,1.95162,1.77505,1.96423,2.00081,1.90283
234,Patterson,EVE,DEF,4.4,0.31333,0.24413,0.27019,0.24478,0.25727,0.27637,0.25349,0.27873
235,Pickford,EVE,GK,4.9,4.22989,3.31718,3.90349,3.25723,3.64977,3.78613,3.36345,3.58591
236,Tarkowski,EVE,DEF,4.8,3.09314,2.81523,2.83137,2.75897,2.82423,2.89515,2.94607,2.952
237,"Y. Chermiti",EVE,FWD,4.9,1.00338,1.26571,1.1443,1.17327,1.12147,1.18661,1.37026,1.26408
238,Young,EVE,DEF,4.7,0,2.30179,2.39352,2.27317,2.34736,2.44726,2.41607,2.49094
239,Adama,FUL,MID,4.7,2.05845,2.45378,2.50056,2.45898,2.51267,2.32065,2.17677,2.49386
240,Andreas,FUL,MID,5,1.76005,1.94931,1.95575,2.00298,2.04746,1.81116,1.77421,1.94392
241,Bassey,FUL,DEF,4.5,2.63206,2.29313,2.19089,2.48437,2.39353,2.18152,2.638,2.24155
242,Benda,FUL,GK,4,0.25219,0.20575,0.17601,0.22667,0.20831,0.20229,0.24999,0.19953
243,Cairney,FUL,MID,4.8,1.22291,1.48973,1.44609,1.34748,1.40491,1.37062,1.22863,1.48763
244,Castagne,FUL,DEF,4.2,2.11958,2.00005,1.92125,2.00728,1.92824,1.89697,2.12478,1.96377
245,Diop,FUL,DEF,4.4,2.21328,1.86264,1.77511,2.09285,2.01694,1.7674,2.21948,1.81598
246,Harris,FUL,MID,4.5,0,0,0,0,0,0,0,0
247,Iwobi,FUL,MID,5.8,2.87806,3.03883,3.0256,3.16137,3.22409,2.84895,2.86354,3.01938
248,Leno,FUL,GK,5,4.46481,3.71401,3.24437,4.06113,3.7707,3.65774,4.43005,3.61511
249,Lukić,FUL,MID,4.8,0.9929,1.4239,1.51746,1.61019,1.66734,1.53408,1.51091,1.6337
250,Mbabu,FUL,DEF,4,0.06635,0.05503,0.05109,0.06038,0.05659,0.0552,0.06793,0.05382
251,Muniz,FUL,FWD,5.5,1.5109,1.77076,1.74192,1.77558,1.89074,1.68526,1.53499,1.81691
252,Raúl,FUL,FWD,5.6,2.12271,2.45788,2.42205,2.45914,2.60694,2.35226,2.15932,2.51887
253,Ream,FUL,DEF,4.5,0,0,0,0,0,0,0,0
254,Reed,FUL,MID,4.7,0,0.01543,0.68605,0.88468,0.92207,0.85036,0.86335,0.94511
255,Robinson,FUL,DEF,4.9,3.22193,3.25563,3.14487,3.19559,3.1483,3.0563,3.21593,3.21671
256,Stansfield,FUL,FWD,5,0.5378,0.60448,0.50608,0.59285,0.62608,0.60615,0.51746,0.59755
257,Tete,FUL,DEF,4.5,0,0,0,0,0,0,0,1.61772
258,Vinicius,FUL,FWD,5,0.32882,0.37603,0.36847,0.39124,0.41954,0.35432,0.33157,0.38534
